Name	Set	ImageFile	Unique	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
A Living Death	P	p001	N	Dilemma	2	P														"Place this dilemma on this location. Each personnel on this planet who does not have Treachery is attributes -1. At the end of this turn, this dilemma is overcome."
Aggressive Behavior	P	p002	N	Dilemma	4	S							Damage - This ship is attributes -2.							"Unless you have 2 Anthropology or 2 Leadership and Weapons>8, randomly select a personnel to be killed, all your other personnel are stopped, and this dilemma is placed on your ship."
Alien Abduction	P	p003	N	Dilemma	1	S														"Unless you have 2 Engineer and Physics or Medical and Transporters, randomly select three personnel to be stopped."
An Issue of Trust	P	p004	N	Dilemma	4	D														"Unless you have Honor or Treachery, all your personnel are stopped. If you have two or more personnel who have Honor or Treachery, randomly select all but one of those personnel to be stopped."
Antedean Assassins	P	p005	N	Dilemma	3	D														"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Telepathy, your opponent chooses an Anthropology or Telepathy personnel to be stopped.  If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Armus Roulette	P	p006	N	Dilemma	4	P														"Randomly select four personnel. Unless they have Cunning>22 or one of them has Cunning>7, your opponent chooses one of them to be killed, then the other three are stopped."
Assassination Attempt	P	p007	N	Dilemma	4	P														Randomly select two personnel. Each of those personnel who does not have Treachery is killed.
Assassin's Blade	P	p008	N	Dilemma	3	D														"Unless you have 2 Security or Cunning>26, your opponent chooses a personnel (except an Android or a Shape-shifter) to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Authenticate Artifacts	P	p009	N	Dilemma	2	P														"Unless you have a personnel who has 2 Anthropology or a personnel who has 2 Archaeology, your opponent chooses an Anthropology or Archaeology personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
Automated Weapons	P	p010	N	Dilemma	3	P														"Unless you have 2 Security or a Hand Weapon, randomly select a personnel to be killed, then all your other personnel are stopped and this dilemma returns to its owner's dilemma pile."
Blended	P	p011	N	Dilemma	2	P														"Unless you have Diplomacy or Telepathy, all your personnel are stopped. If you have two or more personnel who have Diplomacy or Telepathy, randomly select all but one of those personnel to be stopped."
Bynars' Password	P	p012	N	Dilemma	3	D														"Unless you have a personnel who has 2 Engineer or a personnel who has 2 Programming, your opponent chooses an Engineer or Programming personnel to be stopped. If your opponent cannot, all your personnel are stopped and this dilemma returns to its owner's dilemma pile."
